country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","14-02-2025 17:00:00",25.567520,83.966379,OZONE,4,110,74
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","14-02-2025 17:00:00",25.7808257,84.7446768,PM2.5,42,75,55
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","14-02-2025 17:00:00",25.7808257,84.7446768,NO2,16,22,17
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","14-02-2025 17:00:00",24.792403,84.992416,PM10,41,119,69
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","14-02-2025 17:00:00",24.792403,84.992416,SO2,8,11,10
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","14-02-2025 17:00:00",24.792403,84.992416,OZONE,14,57,49
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","14-02-2025 17:00:00",24.762518,84.982348,SO2,7,10,7
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","14-02-2025 17:00:00",16.9872867,81.7363176,PM2.5,38,78,59
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","14-02-2025 17:00:00",16.9872867,81.7363176,PM10,52,99,77
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","14-02-2025 17:00:00",16.9872867,81.7363176,OZONE,1,7,3
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","14-02-2025 17:00:00",13.615387,79.409230,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","14-02-2025 17:00:00",13.615387,79.409230,NH3,NA,NA,NA
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","14-02-2025 17:00:00",13.615387,79.409230,CO,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","14-02-2025 17:00:00",16.536107,80.594233,SO2,1,57,9
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","14-02-2025 17:00:00",17.72,83.3,OZONE,6,311,11
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","14-02-2025 17:00:00",27.103358,93.679645,PM2.5,2,119,53
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","14-02-2025 17:00:00",26.071318,91.87488,CO,18,103,67
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","14-02-2025 17:00:00",26.10887,91.589544,PM2.5,50,302,115
India,Assam,Silchar,"Tarapur, Silchar - PCBA","14-02-2025 17:00:00",24.82827,92.79525,OZONE,1,52,10
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","14-02-2025 17:00:00",26.987634,94.636574,PM2.5,7,52,34
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","14-02-2025 17:00:00",26.146529,87.454184,PM10,26,89,61
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","14-02-2025 17:00:00",26.146529,87.454184,NH3,4,4,4
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","14-02-2025 17:00:00",25.5626095,84.663264,PM2.5,22,42,30
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","14-02-2025 17:00:00",14.675886,77.593027,SO2,12,13,12
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","14-02-2025 17:00:00",14.675886,77.593027,OZONE,9,62,46
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","14-02-2025 17:00:00",13.204880,79.097889,NH3,3,5,4
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","14-02-2025 17:00:00",13.204880,79.097889,SO2,2,3,2
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","14-02-2025 17:00:00",14.465052,78.824187,PM2.5,56,124,81
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","14-02-2025 17:00:00",26.187500,91.744194,PM10,27,143,66
