city,station,last_update,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2
Agartala,"Bardowali, Agartala - Tripura SPCB",14-02-2025 17:00:00,24.0,10.0,21.0,172.0,45.0,31.0,22.0
Agra,"Manoharpur, Agra - UPPCB",14-02-2025 17:00:00,7.0,1.0,18.0,9.0,30.0,32.0,14.0
Agra,"Rohta, Agra - UPPCB",14-02-2025 17:00:00,25.0,4.0,10.0,10.0,31.0,21.0,14.0
Agra,"Sanjay Palace, Agra - UPPCB",14-02-2025 17:00:00,40.0,6.178841309823677,30.0,82.0,34.0,5.0,8.0
Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB",14-02-2025 17:00:00,24.0,2.0,23.0,22.0,42.0,12.0,11.0
Agra,"Shahjahan Garden, Agra - UPPCB",14-02-2025 17:00:00,12.0,1.0,35.0,65.0,77.0,14.0,53.0
Agra,"Shastripuram, Agra - UPPCB",14-02-2025 17:00:00,12.0,2.0,30.0,7.0,56.0,80.5592105263158,14.0
Ahmedabad,"Chandkheda, Ahmedabad - IITM",14-02-2025 17:00:00,46.0,5.0,76.0,176.0,114.0,134.0,24.0
Ahmedabad,"Gyaspur, Ahmedabad - IITM",14-02-2025 17:00:00,27.0,6.0,79.0,82.0,168.0,229.0,80.0
Ahmedabad,"Maninagar, Ahmedabad - GPCB",14-02-2025 17:00:00,25.0,6.178841309823677,30.0,27.0,147.0,68.0,33.0
Ahmedabad,"Raikhad, Ahmedabad - IITM",14-02-2025 17:00:00,28.0,10.0,87.0,65.0,136.0,174.0,29.0
Ahmedabad,"Rakhial, Ahmedabad - IITM",14-02-2025 17:00:00,62.0,3.0,94.0,203.0,107.0,137.0,65.0
Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",14-02-2025 17:00:00,35.0,4.0,20.0,32.0,98.0,108.0,2.0
Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",14-02-2025 17:00:00,34.37341772151899,6.178841309823677,35.87305122494432,58.0,124.0,137.0,18.0
Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",14-02-2025 17:00:00,51.0,16.0,39.0,47.0,101.23632385120351,80.5592105263158,12.0
Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",14-02-2025 17:00:00,66.0,4.0,90.0,47.0,143.0,155.0,24.0
Ahmednagar,"Tarakpur, Ahmednagar - MPCB",14-02-2025 17:00:00,44.0,6.0,25.0,174.0,155.0,160.0,5.0
Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB",14-02-2025 17:00:00,3.0,1.0,35.87305122494432,14.0,70.0,27.0,2.0
Ajmer,"Civil Lines,  Ajmer - RSPCB",14-02-2025 17:00:00,46.0,9.0,92.0,18.0,100.0,62.0,9.0
Akola,"Ramdaspeth, Akola - MPCB",14-02-2025 17:00:00,32.0,6.0,27.0,52.0,79.0,56.0,11.0
Alwar,"Moti Doongri, Alwar - RSPCB",14-02-2025 17:00:00,43.0,13.0,50.0,48.0,72.0,44.0,22.0
Amaravati,"Secretariat, Amaravati - APPCB",14-02-2025 17:00:00,28.0,4.0,14.0,38.0,54.0,34.0,16.0
Amravati,"Shivneri Colony, Amravati - MPCB",14-02-2025 17:00:00,21.0,1.0,20.0,48.0,90.0,50.0,4.0
Amravati,"Shri Shivaji Science College, Amaravati - MPCB",14-02-2025 17:00:00,23.0,1.0,16.0,49.0,99.0,52.0,13.0
Amritsar,"Golden Temple, Amritsar - PPCB",14-02-2025 17:00:00,44.0,7.0,21.0,31.0,79.0,55.0,20.0
Anantapur,"Gulzarpet, Anantapur - APPCB",14-02-2025 17:00:00,7.0,4.0,29.0,46.0,75.0,70.0,12.0
Angul,"Hakimapada, Angul - OSPCB",14-02-2025 17:00:00,86.0,4.0,26.0,53.0,99.0,68.0,41.0
Ankleshwar,"GIDC, Ankleshwar - GPCB",14-02-2025 17:00:00,59.0,4.0,78.0,38.0,120.0,135.0,51.0
Araria,"Kharahiya Basti, Araria - BSPCB",14-02-2025 17:00:00,34.37341772151899,4.0,7.0,10.0,61.0,76.0,14.0
Ariyalur,"Keelapalur, Ariyalur - TNPCB",14-02-2025 17:00:00,34.37341772151899,1.0,10.0,49.0,48.0,38.0,9.0
Arrah,"New DM Office, Arrah - BSPCB",14-02-2025 17:00:00,18.0,1.0,7.0,71.0,77.0,30.0,9.0
Asansol,"Asansol Court Area, Asansol - WBPCB",14-02-2025 17:00:00,32.0,4.0,44.0,43.0,132.0,178.0,27.0
Asansol,"Evelyn Lodge, Asansol - WBPCB",14-02-2025 17:00:00,44.0,7.0,37.0,43.0,145.0,124.0,14.0
Asansol,"Mahabir Colliery, Asansol - WBPCB",14-02-2025 17:00:00,41.0,11.0,21.0,56.0,121.0,92.0,28.0
Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB",14-02-2025 17:00:00,85.0,2.0,42.0,102.0,148.0,112.0,29.0
Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",14-02-2025 17:00:00,29.0,1.0,2.0,40.0,118.0,52.0,11.0
Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",14-02-2025 17:00:00,13.0,2.0,45.0,27.0,96.0,75.0,8.0
Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",14-02-2025 17:00:00,84.0,10.0,32.0,80.0,85.0,80.5592105263158,30.0
Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",14-02-2025 17:00:00,21.0,4.0,40.0,49.0,90.0,72.0,20.0
Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",14-02-2025 17:00:00,24.0,3.0,15.0,86.0,94.0,79.0,49.0
Badlapur,"Katrap, Badlapur - MPCB",14-02-2025 17:00:00,31.0,4.0,40.0,60.0,96.0,70.0,18.0
Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB",14-02-2025 17:00:00,42.0,3.0,29.0,59.0,125.0,39.0,30.0
Balasore,"Kalidaspur, Balasore - OSPCB",14-02-2025 17:00:00,39.0,4.0,22.0,175.0,124.0,134.0,20.0
Banswara,"Rati Talai, Banswara - RSPCB",14-02-2025 17:00:00,24.0,6.0,40.0,176.0,133.0,79.0,7.0
Baran,"Bamboliya, Baran - RSPCB",14-02-2025 17:00:00,36.0,4.0,35.0,82.0,79.0,45.0,14.0
Barbil,"Forest Office, Barbil - OSPCB",14-02-2025 17:00:00,29.0,3.0,18.0,8.0,113.0,64.0,21.0
Bareilly,"Civil Lines, Bareilly - UPPCB",14-02-2025 17:00:00,14.0,6.178841309823677,35.87305122494432,16.0,101.23632385120351,80.5592105263158,17.03181818181818
Bareilly,"Rajendra Nagar, Bareilly - UPPCB",14-02-2025 17:00:00,15.0,1.0,3.0,16.0,36.0,22.0,24.0
Baripada,"Meher Colony, Baripada - OSPCB",14-02-2025 17:00:00,39.0,5.0,24.0,72.0,98.0,79.0,21.0
Barmer,"Railway Colony, Barmer - RSPCB",14-02-2025 17:00:00,30.0,7.0,48.0,56.0,154.0,72.0,7.0
Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",14-02-2025 17:00:00,105.0,10.0,23.0,62.0,142.0,124.0,13.0
Bathinda,"Hardev Nagar, Bathinda - PPCB",14-02-2025 17:00:00,33.0,6.178841309823677,23.0,46.304255319148936,47.0,32.0,15.0
Begusarai,"Lohiyanagar, Begusarai - BSPCB",14-02-2025 17:00:00,83.0,15.0,64.0,20.0,114.0,94.0,17.0
Belapur,"CBD Belapur, Belapur - MPCB",14-02-2025 17:00:00,59.0,6.178841309823677,44.0,50.0,144.0,119.0,21.0
Bengaluru,"BTM Layout, Bengaluru - CPCB",14-02-2025 17:00:00,42.0,2.0,40.0,27.0,32.0,38.0,7.0
Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",14-02-2025 17:00:00,57.0,2.0,12.0,50.0,118.0,88.0,40.0
Bengaluru,"City Railway Station, Bengaluru - KSPCB",14-02-2025 17:00:00,75.0,6.178841309823677,43.0,46.304255319148936,100.0,80.5592105263158,12.0
Bengaluru,"Hebbal, Bengaluru - KSPCB",14-02-2025 17:00:00,20.0,3.0,70.0,22.0,96.0,65.0,10.0
Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",14-02-2025 17:00:00,25.0,2.0,66.0,101.0,77.0,56.0,19.0
Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",14-02-2025 17:00:00,30.0,1.0,12.0,23.0,97.0,70.0,12.0
Bengaluru,"Jigani, Bengaluru - KSPCB",14-02-2025 17:00:00,34.0,6.178841309823677,35.87305122494432,25.0,96.0,106.0,14.0
Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB",14-02-2025 17:00:00,31.0,3.0,17.0,38.0,40.0,38.0,9.0
Bengaluru,"Peenya, Bengaluru - CPCB",14-02-2025 17:00:00,52.0,3.0,22.0,46.304255319148936,92.0,79.0,11.0
Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",14-02-2025 17:00:00,45.0,6.178841309823677,35.87305122494432,25.0,121.0,56.0,6.0
Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",14-02-2025 17:00:00,41.0,6.178841309823677,29.0,46.304255319148936,36.0,80.5592105263158,5.0
Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",14-02-2025 17:00:00,55.0,6.178841309823677,21.0,30.0,86.0,74.0,9.0
Bengaluru,"Silk Board, Bengaluru - KSPCB",14-02-2025 17:00:00,35.0,2.0,23.0,18.0,169.0,63.0,11.0
Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",14-02-2025 17:00:00,68.0,3.0,28.0,24.0,121.0,63.0,15.0
Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",14-02-2025 17:00:00,19.0,1.0,24.0,18.0,55.0,41.0,4.0
Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",14-02-2025 17:00:00,29.0,8.0,12.0,66.0,32.0,37.0,22.0
Bharatpur,"Krishna Nagar, Bharatpur - RSPCB",14-02-2025 17:00:00,12.0,5.0,29.0,89.0,78.0,39.0,8.0
Bhilai,"32Bungalows, Bhilai - CECB",14-02-2025 17:00:00,17.0,6.0,34.0,21.0,40.0,26.0,5.0
Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",14-02-2025 17:00:00,42.0,2.0,8.0,21.0,46.0,25.0,11.0
Bhilai,"Hathkhoj, Bhilai - CECB",14-02-2025 17:00:00,22.0,7.0,43.0,15.0,68.0,47.0,37.0
Bhilwara,"Pratap Nagar, Bhilwara - RSPCB",14-02-2025 17:00:00,18.0,8.0,40.0,62.0,105.0,122.0,27.0
Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB",14-02-2025 17:00:00,93.0,12.0,49.0,40.0,99.0,94.0,12.0
Bhiwadi,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB",14-02-2025 17:00:00,20.0,6.0,45.0,89.0,128.0,77.0,10.0
Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",14-02-2025 17:00:00,22.0,4.0,55.0,57.0,128.0,144.0,18.0
Bhopal,"Idgah Hills, Bhopal - MPPCB",14-02-2025 17:00:00,30.0,3.0,35.0,74.0,71.0,35.0,17.0
Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",14-02-2025 17:00:00,12.0,6.0,40.0,44.0,111.0,67.0,8.0
Bhopal,"T T Nagar, Bhopal - MPPCB",14-02-2025 17:00:00,53.0,20.0,53.0,96.0,104.0,34.0,26.0
Bhubaneswar,"Lingraj Mandir, Bhubaneswar - OSPCB",14-02-2025 17:00:00,62.0,6.0,31.0,67.0,151.0,156.0,25.0
Bhubaneswar,"Patia, Bhubaneswar - OSPCB",14-02-2025 17:00:00,29.0,4.0,20.0,229.0,166.0,168.0,18.0
Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",14-02-2025 17:00:00,34.37341772151899,6.178841309823677,35.87305122494432,31.0,101.23632385120351,80.5592105263158,17.03181818181818
Bikaner,"MM Ground, Bikaner - RSPCB",14-02-2025 17:00:00,38.0,9.0,58.0,76.0,152.0,58.0,7.0
Bilaspur,"Mangala, Bilaspur - NTPC",14-02-2025 17:00:00,22.0,6.178841309823677,16.0,46.304255319148936,49.0,38.0,16.0
Bileipada,"Tata Township, Bileipada - OSPCB",14-02-2025 17:00:00,61.0,6.0,4.0,26.0,129.0,73.0,38.0
Boisar,"Khaira, Boisar - MPCB",14-02-2025 17:00:00,19.0,10.0,20.0,71.0,94.0,63.0,39.0
Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",14-02-2025 17:00:00,58.0,7.0,9.0,63.0,85.0,65.0,17.0
Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",14-02-2025 17:00:00,26.0,12.0,65.0,27.0,128.0,46.0,19.0
